f,algo
0.002004,p35p
0.001327,p35p
0.001953,p35p
0.001952,p35p
0.001558,p35p
0.001101,p35p
0.001431,p35p
0.001570,p35p
0.001704,p35p
0.001687,p35p
0.000634,p35p
0.000777,p35p
0.000671,p35p
0.000713,p35p
0.000753,p35p
0.000772,p35p
0.000655,p35p
0.000725,p35p
0.000707,p35p
0.000780,p35p
0.000769,p35p
0.000783,p35p
0.000857,p35p
0.001239,p35p
0.002048,p35p
0.001638,p35p
0.001880,p35p
0.002381,p35p
0.003032,p35p
0.001701,p35p
0.001338,p35p
0.001659,p35p
0.001782,p35p
0.001016,p35p
0.001451,p35p
0.001541,p35p
0.002535,p35p
0.002437,p35p
0.002278,p35p
0.002732,p35p
0.001759,p35p
0.002217,p35p
0.001601,p35p
0.005646,p35p
0.001628,p35p
0.001233,p35p
0.001854,p35p
0.000659,p35p
0.001615,p35p
0.000442,p35p
0.000792,p35p
0.002406,p35p
0.002259,p35p
0.001341,p35p
0.000888,p35p
0.000767,p35p
0.000767,p35p
0.000773,p35p
0.000857,p35p
0.000863,p35p
0.001154,p35p
0.001505,p35p
0.001144,p35p
0.001051,p35p
0.000900,p35p
0.000719,p35p
0.000807,p35p
0.000792,p35p
0.000758,p35p
0.003968,p35p
0.003693,p35p
0.003986,p35p
0.002700,p35p
0.002946,p35p
0.006080,p35p
0.005134,p35p
0.001876,p4p
0.001235,p4p
0.002050,p4p
0.001999,p4p
0.001624,p4p
0.001167,p4p
0.001488,p4p
0.001649,p4p
0.001744,p4p
0.001713,p4p
0.000650,p4p
0.000791,p4p
0.000690,p4p
0.000734,p4p
0.000772,p4p
0.000789,p4p
0.000672,p4p
0.000741,p4p
0.000732,p4p
0.000791,p4p
0.000783,p4p
0.000795,p4p
0.000867,p4p
0.001269,p4p
0.002076,p4p
0.001678,p4p
0.001917,p4p
0.002419,p4p
0.003069,p4p
0.001726,p4p
0.001356,p4p
0.001681,p4p
0.001794,p4p
0.001018,p4p
0.001450,p4p
0.001539,p4p
0.002521,p4p
0.002434,p4p
0.002275,p4p
0.002735,p4p
0.001760,p4p
0.002218,p4p
0.001601,p4p
0.004730,p4p
0.001700,p4p
0.000977,p4p
0.002047,p4p
0.000479,p4p
0.001563,p4p
0.000445,p4p
0.000826,p4p
0.002423,p4p
0.002289,p4p
0.001356,p4p
0.000902,p4p
0.000788,p4p
0.000789,p4p
0.000788,p4p
0.000868,p4p
0.000870,p4p
0.001170,p4p
0.001518,p4p
0.001173,p4p
0.001082,p4p
0.000930,p4p
0.000734,p4p
0.000823,p4p
0.000808,p4p
0.000773,p4p
0.004041,p4p
0.003753,p4p
0.004030,p4p
0.002697,p4p
0.002945,p4p
0.006126,p4p
0.005136,p4p
0.001784,real
0.001166,real
0.001918,real
0.001896,real
0.001556,real
0.001154,real
0.001479,real
0.001619,real
0.001735,real
0.001723,real
0.000663,real
0.000804,real
0.000691,real
0.000732,real
0.000770,real
0.000791,real
0.000675,real
0.000747,real
0.000723,real
0.000799,real
0.000788,real
0.000804,real
0.000876,real
0.001259,real
0.002069,real
0.001655,real
0.001890,real
0.002394,real
0.003046,real
0.001719,real
0.001356,real
0.001678,real
0.001794,real
0.001028,real
0.001467,real
0.001554,real
0.002533,real
0.002448,real
0.002267,real
0.002680,real
0.002027,real
0.001184,real
0.004676,real
0.001664,real
0.000907,real
0.001931,real
0.000643,real
0.001538,real
0.000439,real
0.000801,real
0.002428,real
0.002284,real
0.001363,real
0.000904,real
0.000786,real
0.000788,real
0.000792,real
0.000876,real
0.000880,real
0.001166,real
0.001513,real
0.001168,real
0.001076,real
0.000925,real
0.000738,real
0.000826,real
0.000814,real
0.000772,real
0.004022,real
0.003747,real
0.004072,real
0.002721,real
0.002935,real
0.006200,real
0.005290,real
